COUNTRY,amount,year,UNIT_TYPE_DESCR
IE,233188965,2012,"ERU - Emission Reduction Unit"
HR,1070047,2014,"ERU - Emission Reduction Unit"
HU,374812162,2015,"ERU - Emission Reduction Unit"
LU,135010402,2015,"ERU - Emission Reduction Unit"
IE,334154604,2015,"ERU - Emission Reduction Unit"
IS,140521,2015,"ERU - Emission Reduction Unit"
NO,166294733,2015,"ERU - Emission Reduction Unit"
AT,247535774,2012,"ERU - Emission Reduction Unit"
EE,471312964,2013,"ERU - Emission Reduction Unit"
EE,7387858,2014,"ERU - Emission Reduction Unit"
,15160911,2019,"ERU - Emission Reduction Unit"
GB,5827510,2019,"ERU - Emission Reduction Unit"
NL,10619858,2019,"ERU - Emission Reduction Unit"
SE,2887744,2019,"ERU - Emission Reduction Unit"
GR,2886935,2019,"ERU - Emission Reduction Unit"
SI,2882902,2019,"ERU - Emission Reduction Unit"
FI,7737633,2019,"ERU - Emission Reduction Unit"
DK,2886935,2019,"ERU - Emission Reduction Unit"
HU,2886935,2019,"ERU - Emission Reduction Unit"
AT,2886935,2019,"ERU - Emission Reduction Unit"
LT,5767990,2019,"ERU - Emission Reduction Unit"
BG,2886257,2019,"ERU - Emission Reduction Unit"
EE,5767312,2019,"ERU - Emission Reduction Unit"
IE,2886935,2019,"ERU - Emission Reduction Unit"
DE,12587523,2019,"ERU - Emission Reduction Unit"
IT,12270303,2019,"ERU - Emission Reduction Unit"
LV,2886257,2019,"ERU - Emission Reduction Unit"
NO,2886935,2019,"ERU - Emission Reduction Unit"
IE,294562163,2013,"ERU - Emission Reduction Unit"
JE,6539738,2013,"ERU - Emission Reduction Unit"
US,4417281,2013,"ERU - Emission Reduction Unit"
US,40653690,2012,"ERU - Emission Reduction Unit"
SI,134609863,2012,"ERU - Emission Reduction Unit"
SI,22686796,2015,"ERU - Emission Reduction Unit"
JE,13236289,2014,"ERU - Emission Reduction Unit"
US,2559022,2014,"ERU - Emission Reduction Unit"
CH,83512908,2013,"ERU - Emission Reduction Unit"
SI,118923229,2013,"ERU - Emission Reduction Unit"
SI,25996643,2014,"ERU - Emission Reduction Unit"
BM,650,2013,"ERU - Emission Reduction Unit"
LI,192734362,2013,"ERU - Emission Reduction Unit"
LU,223564320,2013,"ERU - Emission Reduction Unit"
BG,7015815,2014,"ERU - Emission Reduction Unit"
CH,22818884,2014,"ERU - Emission Reduction Unit"
TR,8347,2013,"ERU - Emission Reduction Unit"
CA,64,2013,"ERU - Emission Reduction Unit"
SG,13096228,2013,"ERU - Emission Reduction Unit"
IS,7417,2013,"ERU - Emission Reduction Unit"
BZ,103,2013,"ERU - Emission Reduction Unit"
JE,1104750,2015,"ERU - Emission Reduction Unit"
CH,112594980,2015,"ERU - Emission Reduction Unit"
BE,245275,2018,"ERU - Emission Reduction Unit"
DE,75845088,2018,"ERU - Emission Reduction Unit"
SE,75551734,2018,"ERU - Emission Reduction Unit"
DK,317664,2018,"ERU - Emission Reduction Unit"
FR,75604928,2018,"ERU - Emission Reduction Unit"
HU,60744,2018,"ERU - Emission Reduction Unit"
US,2433,2018,"ERU - Emission Reduction Unit"
CZ,317664,2018,"ERU - Emission Reduction Unit"
PL,372663,2018,"ERU - Emission Reduction Unit"
AT,56325,2018,"ERU - Emission Reduction Unit"
GB,11252316,2018,"ERU - Emission Reduction Unit"
ES,361585,2018,"ERU - Emission Reduction Unit"
LI,132530676,2015,"ERU - Emission Reduction Unit"
LV,352754847,2015,"ERU - Emission Reduction Unit"
GR,262123936,2012,"ERU - Emission Reduction Unit"
AU,1745592,2013,"ERU - Emission Reduction Unit"
NO,287490040,2013,"ERU - Emission Reduction Unit"
,60247153,2014,"ERU - Emission Reduction Unit"
CY,465898,2014,"ERU - Emission Reduction Unit"
MT,1617570,2013,"ERU - Emission Reduction Unit"
LT,314623841,2012,"ERU - Emission Reduction Unit"
LT,5771884,2014,"ERU - Emission Reduction Unit"
GB,298694361,2011,"ERU - Emission Reduction Unit"
LU,44449329,2011,"ERU - Emission Reduction Unit"
PT,88788787,2011,"ERU - Emission Reduction Unit"
NL,175233829,2011,"ERU - Emission Reduction Unit"
SE,147261213,2011,"ERU - Emission Reduction Unit"
AT,83489138,2011,"ERU - Emission Reduction Unit"
FR,209176922,2011,"ERU - Emission Reduction Unit"
ES,179644830,2011,"ERU - Emission Reduction Unit"
CY,22827187,2011,"ERU - Emission Reduction Unit"
GR,64236394,2011,"ERU - Emission Reduction Unit"
NO,65223659,2011,"ERU - Emission Reduction Unit"
IT,133381633,2011,"ERU - Emission Reduction Unit"
PL,153217588,2011,"ERU - Emission Reduction Unit"
SK,71322369,2011,"ERU - Emission Reduction Unit"
DE,320495277,2011,"ERU - Emission Reduction Unit"
IE,51332641,2011,"ERU - Emission Reduction Unit"
HU,90034407,2011,"ERU - Emission Reduction Unit"
LI,27774518,2011,"ERU - Emission Reduction Unit"
LT,84747234,2011,"ERU - Emission Reduction Unit"
,265588169,2011,"ERU - Emission Reduction Unit"
LV,70862081,2011,"ERU - Emission Reduction Unit"
BG,82285880,2011,"ERU - Emission Reduction Unit"
EE,58593736,2011,"ERU - Emission Reduction Unit"
CZ,110320659,2011,"ERU - Emission Reduction Unit"
FI,116307191,2011,"ERU - Emission Reduction Unit"
LU,129317326,2012,"ERU - Emission Reduction Unit"
CY,105896123,2012,"ERU - Emission Reduction Unit"
LI,92790470,2012,"ERU - Emission Reduction Unit"
LV,305077882,2012,"ERU - Emission Reduction Unit"
EE,237856461,2012,"ERU - Emission Reduction Unit"
GB,129586499,2010,"ERU - Emission Reduction Unit"
LU,12573858,2010,"ERU - Emission Reduction Unit"
PT,33285709,2010,"ERU - Emission Reduction Unit"
NL,65229860,2010,"ERU - Emission Reduction Unit"
SE,45120314,2010,"ERU - Emission Reduction Unit"
AT,28355782,2010,"ERU - Emission Reduction Unit"
FR,65097764,2010,"ERU - Emission Reduction Unit"
ES,56949998,2010,"ERU - Emission Reduction Unit"
CY,4135673,2010,"ERU - Emission Reduction Unit"
GR,19180968,2010,"ERU - Emission Reduction Unit"
NO,26556580,2010,"ERU - Emission Reduction Unit"
IT,32655332,2010,"ERU - Emission Reduction Unit"
PL,56941751,2010,"ERU - Emission Reduction Unit"
SK,23662060,2010,"ERU - Emission Reduction Unit"
DE,91321890,2010,"ERU - Emission Reduction Unit"
IE,18329429,2010,"ERU - Emission Reduction Unit"
HU,28295423,2010,"ERU - Emission Reduction Unit"
LI,9191629,2010,"ERU - Emission Reduction Unit"
LT,29196188,2010,"ERU - Emission Reduction Unit"
,68711877,2010,"ERU - Emission Reduction Unit"
LV,27217524,2010,"ERU - Emission Reduction Unit"
BG,28161860,2010,"ERU - Emission Reduction Unit"
EE,21762518,2010,"ERU - Emission Reduction Unit"
CZ,37230177,2010,"ERU - Emission Reduction Unit"
FI,45311386,2010,"ERU - Emission Reduction Unit"
SI,39086433,2011,"ERU - Emission Reduction Unit"
DK,83933750,2011,"ERU - Emission Reduction Unit"
AT,3772196,2009,"ERU - Emission Reduction Unit"
BE,5557392,2009,"ERU - Emission Reduction Unit"
LU,1953035,2009,"ERU - Emission Reduction Unit"
BG,2915339,2009,"ERU - Emission Reduction Unit"
GB,18634650,2009,"ERU - Emission Reduction Unit"
GR,1908403,2009,"ERU - Emission Reduction Unit"
NO,3505015,2009,"ERU - Emission Reduction Unit"
RO,4610032,2009,"ERU - Emission Reduction Unit"
NL,6444639,2009,"ERU - Emission Reduction Unit"
IE,1804246,2009,"ERU - Emission Reduction Unit"
,5654528,2009,"ERU - Emission Reduction Unit"
EE,1363300,2009,"ERU - Emission Reduction Unit"
HU,3322692,2009,"ERU - Emission Reduction Unit"
LT,1760535,2009,"ERU - Emission Reduction Unit"
LV,2652072,2009,"ERU - Emission Reduction Unit"
FI,5409734,2009,"ERU - Emission Reduction Unit"
DK,5479084,2009,"ERU - Emission Reduction Unit"
BE,32844844,2010,"ERU - Emission Reduction Unit"
RO,21504262,2010,"ERU - Emission Reduction Unit"
DK,42388139,2010,"ERU - Emission Reduction Unit"
BE,110422262,2011,"ERU - Emission Reduction Unit"
RO,60688950,2011,"ERU - Emission Reduction Unit"
,515901909,2013,"ERU - Emission Reduction Unit"
LV,321047738,2013,"ERU - Emission Reduction Unit"
SI,12883597,2010,"ERU - Emission Reduction Unit"
ES,6970194,2009,"ERU - Emission Reduction Unit"
NZ,116648,2013,"ERU - Emission Reduction Unit"
NZ,7,2014,"ERU - Emission Reduction Unit"
IM,329,2013,"ERU - Emission Reduction Unit"
IT,39876610,2017,"ERU - Emission Reduction Unit"
HK,48531,2010,"ERU - Emission Reduction Unit"
,42960391,2017,"ERU - Emission Reduction Unit"
BE,14733026,2017,"ERU - Emission Reduction Unit"
DE,62517330,2017,"ERU - Emission Reduction Unit"
PT,83602204,2017,"ERU - Emission Reduction Unit"
FR,61517811,2017,"ERU - Emission Reduction Unit"
SK,43709324,2017,"ERU - Emission Reduction Unit"
GR,50739748,2017,"ERU - Emission Reduction Unit"
NO,45965247,2017,"ERU - Emission Reduction Unit"
GB,78627270,2017,"ERU - Emission Reduction Unit"
HR,28604,2017,"ERU - Emission Reduction Unit"
SI,2310398,2017,"ERU - Emission Reduction Unit"
PL,64911500,2017,"ERU - Emission Reduction Unit"
AT,47315312,2017,"ERU - Emission Reduction Unit"
