MAIN_ACT,amount,YEAR
root,,
2021,,root
2020,,root
2019,,root
2018,,root
2017,,root
2016,,root
2015,,root
2014,,root
2013,,root
2012,,root
2011,,root
2010,,root
2009,,root
2008,,root
 manufacture of ceramic,16152099,2012
 production of pulp or other fibrous materials ,39305640,2012
Aviation,170722124,2012
Capture of greenhouse gases ,17387,2012
Combustion installations ,81045542,2012
Combustion of fuels,1235981370,2012
manufacture of glass,23018906,2012
Manufacture of mineral wool,2127790,2012
Metal ore roasting or sintering,3090476,2012
Mineral oil refineries,9942955,2012
Other activity,5921953,2012
Prodcution of aluminium,661175,2012
Production of adipic acid,0,2012
Production of ammonia,2985024,2012
Production of bulk chemicals,28551993,2012
Production of carbon black,1816234,2012
production of cement clinker ,180062347,2012
Production of coke,14157659,2012
Production of glyoxal and glyoxylic acid,0,2012
Production of gypsum or plasterboard,370962,2012
Production of hydrogen and synthesis gas,588209,2012
Production of metals,13879628,2012
Production of nitric acid,694074,2012
production of pig iron or steel ,168583073,2012
Production of quicklime,36765783,2012
Production of sodium carbonates,1095905,2012
Refining of mineral oil,128219856,2012
 manufacture of ceramic,15846948,2011
 production of pulp or other fibrous materials ,37938099,2011
Aviation,0,2011
Capture of greenhouse gases ,17387,2011
Combustion installations ,80996374,2011
Combustion of fuels,1202229825,2011
manufacture of glass,22850719,2011
Manufacture of mineral wool,2118753,2011
Metal ore roasting or sintering,3074634,2011
Mineral oil refineries,9942955,2011
Other activity,5587254,2011
Prodcution of aluminium,515562,2011
Production of adipic acid,0,2011
Production of ammonia,2726922,2011
Production of bulk chemicals,28271528,2011
Production of carbon black,1809104,2011
production of cement clinker ,177882403,2011
Production of coke,14136820,2011
Production of glyoxal and glyoxylic acid,0,2011
Production of gypsum or plasterboard,370829,2011
Production of hydrogen and synthesis gas,588209,2011
Production of metals,13958877,2011
Production of nitric acid,719187,2011
production of pig iron or steel ,168281715,2011
Production of quicklime,35746211,2011
Production of sodium carbonates,1095905,2011
Refining of mineral oil,124696467,2011
 manufacture of ceramic,15975911,2010
 production of pulp or other fibrous materials ,37590790,2010
Aviation,0,2010
Capture of greenhouse gases ,17387,2010
Combustion installations ,80310147,2010
Combustion of fuels,1183579666,2010
manufacture of glass,22199954,2010
Manufacture of mineral wool,1983681,2010
Metal ore roasting or sintering,3054432,2010
Mineral oil refineries,9942955,2010
Other activity,5014265,2010
Prodcution of aluminium,515120,2010
Production of adipic acid,0,2010
Production of ammonia,2580939,2010
Production of bulk chemicals,28139842,2010
Production of carbon black,1829833,2010
production of cement clinker ,177733988,2010
Production of coke,14177489,2010
Production of glyoxal and glyoxylic acid,0,2010
Production of gypsum or plasterboard,370829,2010
Production of hydrogen and synthesis gas,588210,2010
Production of metals,13630037,2010
Production of nitric acid,719185,2010
production of pig iron or steel ,167051251,2010
Production of quicklime,35971330,2010
Production of sodium carbonates,1095905,2010
Refining of mineral oil,124708794,2010
 manufacture of ceramic,15145013,2009
 production of pulp or other fibrous materials ,36264680,2009
Aviation,0,2009
Capture of greenhouse gases ,17387,2009
Combustion installations ,78206794,2009
Combustion of fuels,1159058384,2009
manufacture of glass,21688235,2009
Manufacture of mineral wool,1939044,2009
Metal ore roasting or sintering,3018007,2009
Mineral oil refineries,9942955,2009
Other activity,5399816,2009
Prodcution of aluminium,514905,2009
Production of adipic acid,0,2009
Production of ammonia,3223280,2009
Production of bulk chemicals,28077566,2009
Production of carbon black,1756923,2009
production of cement clinker ,176026222,2009
Production of coke,13877565,2009
Production of glyoxal and glyoxylic acid,0,2009
Production of gypsum or plasterboard,370829,2009
Production of hydrogen and synthesis gas,588211,2009
Production of metals,13590173,2009
Production of nitric acid,499546,2009
production of pig iron or steel ,165487461,2009
Production of quicklime,35119260,2009
Production of sodium carbonates,1095905,2009
Refining of mineral oil,120827312,2009
 manufacture of ceramic,14680607,2008
 production of pulp or other fibrous materials ,35047645,2008
Aviation,0,2008
Capture of greenhouse gases ,17095,2008
Combustion installations ,76568718,2008
Combustion of fuels,1152008866,2008
manufacture of glass,21398361,2008
Manufacture of mineral wool,1811914,2008
Metal ore roasting or sintering,2951671,2008
Mineral oil refineries,9942958,2008
