MAIN_ACT,net,year
Prodcution of aluminium,0,2011
Production of adipic acid,0,2011
Production of ammonia,0,2011
Production of bulk chemicals,0,2011
Production of carbon black,0,2011
production of cement clinker ,-92320,2011
Production of coke,-59503,2011
Production of glyoxal and glyoxylic acid,0,2011
Production of gypsum or plasterboard,0,2011
Production of hydrogen and synthesis gas,0,2011
Production of metals,0,2011
Production of nitric acid,-202816,2011
production of pig iron or steel ,-20419,2011
Production of quicklime,4751,2011
Production of sodium carbonates,0,2011
Refining of mineral oil,38882,2011
 manufacture of ceramic,-26895,2010
 production of pulp or other fibrous materials ,-102503,2010
Aviation,0,2010
Capture of greenhouse gases ,0,2010
Combustion installations ,-3205,2010
Combustion of fuels,6946,2010
manufacture of glass,-12178,2010
Manufacture of mineral wool,-5090,2010
Metal ore roasting or sintering,-470645,2010
Mineral oil refineries,44592,2010
Other activity,0,2010
Prodcution of aluminium,0,2010
Production of adipic acid,0,2010
Production of ammonia,0,2010
Production of bulk chemicals,0,2010
Production of carbon black,0,2010
production of cement clinker ,-114318,2010
Production of coke,-61392,2010
Production of glyoxal and glyoxylic acid,0,2010
Production of gypsum or plasterboard,0,2010
Production of hydrogen and synthesis gas,0,2010
Production of metals,0,2010
Production of nitric acid,-187154,2010
production of pig iron or steel ,-25785,2010
Production of quicklime,2637,2010
Production of sodium carbonates,0,2010
Refining of mineral oil,-972,2010
 manufacture of ceramic,-24133,2009
 production of pulp or other fibrous materials ,-90672,2009
Aviation,0,2009
Capture of greenhouse gases ,0,2009
Combustion installations ,-2784,2009
Combustion of fuels,2856,2009
manufacture of glass,-15338,2009
Manufacture of mineral wool,-162,2009
Metal ore roasting or sintering,-566054,2009
Mineral oil refineries,204867,2009
Other activity,0,2009
Prodcution of aluminium,0,2009
Production of adipic acid,0,2009
Production of ammonia,0,2009
Production of bulk chemicals,0,2009
Production of carbon black,0,2009
production of cement clinker ,3969,2009
Production of coke,-123713,2009
Production of glyoxal and glyoxylic acid,0,2009
Production of gypsum or plasterboard,0,2009
Production of hydrogen and synthesis gas,0,2009
Production of metals,0,2009
Production of nitric acid,0,2009
production of pig iron or steel ,-22971,2009
Production of quicklime,1128,2009
Production of sodium carbonates,0,2009
Refining of mineral oil,76498,2009
 manufacture of ceramic,-16545,2008
 production of pulp or other fibrous materials ,26478,2008
Aviation,0,2008
Capture of greenhouse gases ,0,2008
Combustion installations ,0,2008
Combustion of fuels,1489,2008
manufacture of glass,-3525,2008
Manufacture of mineral wool,-1754,2008
Metal ore roasting or sintering,-436613,2008
